Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
429;3;trainlm;logsig;purelin;tansig;10;15;6866.958923;98.85496183;;67.55504599;1.13619E-16;93.75974156;-2.40805E-16;7294.060111;100;;74.03784662;9.13339E-18;92.84009113;-4.74559E-16;6844.563333;99.11504425;;68.90235105;-5.41487E-17;93.43888524;-4.49878E-16;98.4;;72.54832698;-1.25697E-16;94.09194067;-1.14999E-15;0.879448589;0.378260831;88.34675588
429;5;trainlm;logsig;purelin;tansig;10;15;7026.159214;99.04580153;;70.42526369;2.30655E-17;93.15036821;-8.64138E-17;6347.423756;100;;59.33236891;6.23104E-17;94.93705525;-1.34054E-15;7052.961168;98.2300885;;70.29814666;6.23588E-18;94.16768783;3.00326E-16;98.4;;72.54832698;-1.25697E-16;94.09194067;-1.14999E-15;0.996380625;0.374924881;88.34675588
435;4;trainlm;logsig;purelin;tansig;15;15;6781.146813;99.61832061;;69.28245165;8.74715E-17;93.64463498;-6.02956E-17;7471.388935;98.2300885;;70.14263125;-3.44055E-17;93.67953327;5.20241E-17;7065.159689;97.34513274;;64.78729593;-7.4814E-17;93.13321169;2.53462E-17;98.4;;72.54832698;-1.25697E-16;94.09194067;-1.14999E-15;0.882668518;0.606982104;88.34675588
28;2;trainlm;poslin;softmax;tansig;25;20;75.36138313;88.45747167;0.962765494;123.3448829;0.994044253;56.91495616;0.712596731;71.5714328;271.2748052;0.968692601;95.20536978;0.994452265;55.1872519;0.803426906;89.87223657;194.5519175;0.956543767;125.0478296;0.992636465;38.18729478;0.817360162;112.0670198;0.965261934;103.3078969;0.994520371;49.97349495;0.688852087;0.806607834;1;88.44947057
299;4;trainlm;tansig;purelin;purelin;5;25;44.50583284;123.4043606;0.974500014;53.39784083;0.996712456;25.12420595;0.919584452;53.20517808;93.31430981;0.971077263;61.42711685;0.995990155;17.40795438;0.918029257;57.72592155;197.316888;0.970673118;53.28401902;0.996977618;35.70334168;0.942335085;193.6247681;0.966420895;48.15262889;0.995593697;23.8340935;0.909414925;0.897908297;0.269545201;88.5371635
525;3;trainlm;purelin;softmax;tansig;20;15;16.3249065;131.2016063;0.995636299;13.65679673;0.998764848;217.1268713;-0.153591917;10.09169684;16.43505288;0.996961093;17.00721807;0.999300099;122.3082712;-0.142820193;14.45809885;94.5195311;0.993729746;14.62838121;0.999029985;172.1890568;-0.203344973;80.49351828;0.995739522;13.42816688;0.999000369;172.1575531;-0.164618559;0.30131887;1;88.69307943
460;2;trainlm;logsig;purelin;tansig;35;20;6560.075097;99.42748092;;67.45354305;0.22795607;95.22200946;0.611845785;7766.303918;96.46017699;;69.63852404;-5.79263E-17;135.85915;0.64602721;6939.375856;100;;70.9737396;0.2764287;76.08066696;0.825833769;98.4;;72.3804336;0.127480188;97.70855148;0.605537838;0.961948567;0.321033917;89.49632836
12;4;trainlm;poslin;softmax;tansig;10;30;7017.607217;99.22827965;-0.202411121;69.54859977;9.22428E-17;93.81649858;4.024E-16;6742.309598;128.5029181;-0.333531633;67.46110516;-8.0878E-17;92.32936725;4.58394E-16;6696.814154;101.6307095;-0.407754361;66.23464842;-4.85546E-18;93.6864173;-7.63295E-16;101.8730697;-0.248685978;72.54832698;-1.25697E-16;94.09194067;-1.14999E-15;0.833798037;1;89.50444578
13;5;trainlm;poslin;softmax;tansig;15;5;69.2297225;26.79704729;0.959551832;83.32017131;0.99647571;186.6285706;0.542943844;70.13455846;16.78346337;0.963081104;67.41522613;0.996247507;181.7902659;0.682137733;62.4825625;22.1165921;0.969772471;66.30299463;0.996524436;253.5611743;0.618013116;30.35371837;0.961120534;67.10708335;0.995193726;172.0827019;0.611895266;0.880917875;1;89.84783455
525;2;trainlm;purelin;softmax;tansig;20;15;1917.455207;125.8580466;0.502776439;39.1635282;0.922177754;93.6793503;-0.648118305;2390.938913;63.36710937;0.379980881;34.71221779;0.915384688;93.8869623;-0.575945644;2115.303874;153.2147714;0.533196603;41.6290774;0.89667411;92.76480189;-0.706900972;132.7669212;0.470946761;43.73263575;0.894550723;94.09194067;-0.656773284;0.315976174;1;90.19716587
205;1;trainlm;tansig;softmax;tansig;35;5;3563.170781;98.66412214;;2.511051096;0.999995559;188.4226284;-0.252909644;3431.272954;100;;3.102390906;0.999997583;220.0281318;-0.295893192;3755.290959;100;;2.978032129;0.999997829;192.0273932;-0.161726325;98.4;;2.29409059;0.999993983;170.3155095;-0.220950487;0.977726803;1;90.33653338
93;5;trainlm;poslin;purelin;tansig;10;15;3835.362921;62.82857144;0.575264292;67.93373942;0.529794682;168.6638583;-0.174162477;3240.391539;67.95853933;0.428167468;66.07283483;0.477734234;137.5187145;-0.095935172;3180.420195;62.59618875;0.51802529;61.2506437;0.568538171;114.4649038;-0.153481396;65.88369685;0.531144562;69.75918096;0.580313167;136.605862;-0.130015578;0.784664885;0.342011527;90.74957992
358;5;trainlm;logsig;softmax;tansig;20;20;3602.824728;98.85496183;;2.219389575;0.999994494;209.0588973;4.35811E-16;3388.833065;100;;2.109503622;0.999990487;113.4797327;-5.30962E-16;3614.622172;99.11504425;;2.569303184;0.999996298;218.4301573;0;98.4;;2.008653202;0.999991574;172.1575544;-1.14999E-15;0.895679494;1;90.85540254
36;5;trainlm;poslin;softmax;tansig;30;30;81.67863392;166.9786137;0.957180219;104.1293609;0.993760101;38.63386439;0.849995533;75.86684546;195.9785716;0.961427465;108.3638928;0.995648685;51.13135815;0.852021818;75.47360284;135.7466414;0.960279628;123.0106658;0.995019829;33.63926659;0.860482546;141.5770617;0.960546254;94.43891256;0.994443222;36.60365939;0.842664695;0.872585355;1;90.87321122
173;4;trainlm;tansig;softmax;tansig;5;25;5662.94284;99.04580153;;143.7265911;0.899453169;53.48219902;0.800930221;6248.881242;100;;126.1430755;0.874165857;46.22459623;0.783715013;5496.572904;98.2300885;;142.3396285;0.84637616;42.06012533;0.718583076;98.4;;129.1069735;0.864775229;46.93275679;0.764729466;0.948727439;1;91.47991009
346;5;trainlm;logsig;softmax;tansig;10;20;3659.177519;16.94719044;0.916824237;68.84351027;2.5912E-16;211.8386048;-0.775348951;3329.412267;14.89286327;0.911962366;66.71540295;6.75636E-17;147.1903972;-0.791205836;2731.251396;27.09543429;0.820679429;70.2499692;9.29414E-18;171.8295217;-0.715698245;30.93179718;0.867422443;72.54832698;-1.25697E-16;172.1575544;-0.743547876;0.920074533;1;91.87922619
19;5;trainlm;poslin;softmax;tansig;20;5;73.02513841;190.696068;0.960940059;118.2557922;0.99579699;59.12796075;0.853951041;74.22768334;24.78752603;0.945551897;140.1482247;0.994110566;42.91482905;0.827256587;63.51568872;51.84375172;0.964133172;113.661304;0.995741236;58.09890947;0.843068144;123.1731715;0.956646135;104.1683012;0.994869805;49.40219011;0.82763105;0.916770808;1;92.2478876
413;3;trainlm;logsig;softmax;purelin;30;25;89.55693554;128.0163946;0.941013027;90.1681109;0.995545593;29.02889834;0.906684042;76.40886706;60.92915462;0.953101976;102.9633018;0.99637616;23.03969791;0.911638577;113.1755156;238.3005962;0.931242431;112.4238821;0.995589432;43.57157634;0.908153778;169.5935818;0.941735103;81.36506851;0.995817995;25.98299024;0.896192123;0.886329867;1;92.31388018
87;1;trainlm;poslin;purelin;tansig;5;15;107.7897077;33.39539764;0.968019969;85.16732792;0.986912051;207.5619782;-0.612632723;81.62950873;23.86713796;0.965075867;92.74435469;0.990687604;160.3211933;-0.616104435;111.7649862;15.943146;0.970290654;86.11408709;0.98234272;154.45126;-0.558164211;34.27027116;0.96604776;75.42302601;0.984537276;168.4971368;-0.633589851;0.826827805;0.283435703;92.73014466
4;3;trainlm;poslin;softmax;tansig;5;20;370.8775074;96.25477573;0.924472487;205.7262221;0.936295497;36.11374482;0.873565648;405.7517806;100.1288797;0.929973757;223.8773439;0.912129344;35.27311422;0.850084099;358.3640256;78.0519436;0.918338515;187.1018458;0.935789811;34.27169504;0.861411217;78.11083722;0.902544589;170.4706913;0.912109751;29.97372138;0.862876971;0.827353927;1;92.85174998
186;3;trainlm;tansig;softmax;tansig;15;30;6823.068344;98.85496183;;68.01262775;0.485585583;124.154466;0.600727802;5797.597818;99.11504425;;65.02303442;0.511218439;79.67586554;0.610264509;5689.737997;100;;65.4777404;0.573405673;54.43692002;0.693560252;98.4;;71.52192125;0.40595471;108.8917696;0.547246783;0.992052176;1;92.93789696
42;5;trainlm;poslin;softmax;tansig;35;30;29.14585219;161.3078783;0.987623023;113.3133974;0.997722908;46.45656517;0.83147871;34.05859408;101.3582564;0.982114122;102.1374134;0.996880995;31.40337429;0.811028539;41.73793832;347.7774701;0.988139975;109.0616886;0.9955863;61.21821679;0.85094219;145.5983802;0.980956939;94.2426969;0.996501016;39.084155;0.815591925;0.828006986;1;92.97507737
