Configuracao;Treinamento;Alg. Otimiz;Ativacao 1 Cam;Ativacao 2 Cam;Ativacao saída;Neuron 1 Camada;Neuron 2 Camada;TreinoFobj;TreinoErro1;TreinoCorr1;TreinoErro2;TreinoCorr2;TreinoErro3;TreinoCorr3;ValidFobj;ValidErro1;ValidCorr1;ValidErro2;ValidCorr2;ValidErro3;ValidCorr3;TesteFobj;TesteErro1;TesteCorr1;TesteErro2;TesteCorr2;TesteErro3;TesteCorr3;SimulaErro1;SimulaCorr1;SimulaErro2;SimulaCorr2;SimulaErro3;SimulaCorr3;phi;phi2;MAPE
641;2;trainbfg;purelin;purelin;purelin;10;25;274.5588234;104.2280236;0.881150207;117.3984562;0.973370459;210.3835247;0.399360627;304.7622702;154.6974142;0.836114312;129.2506271;0.967774097;173.5616272;0.373988314;278.6123023;176.0678654;0.875453395;138.5030846;0.974603455;180.1998709;0.382947016;93.7717346;0.87085398;104.6306224;0.9680162;167.3347047;0.431364984;0.329807928;0.291731013;121.9123539
661;3;trainbfg;purelin;purelin;purelin;30;5;282.0754989;124.8229412;0.870668507;123.3213651;0.972152025;190.6604323;-0.360662332;254.1356111;92.9441809;0.895033087;86.87036407;0.973528307;177.8364444;-0.172633055;257.9322931;150.7641657;0.857684715;107.6347342;0.973494822;123.9787753;-0.22136436;95.02207378;0.871049977;99.97095685;0.968202544;170.861086;-0.36831039;0.293519473;0.387585487;121.9513722
598;5;trainbfg;purelin;purelin;tansig;10;20;2638.736022;107.9814042;0.751467479;64.79150043;0.782727295;60.153688;0.806385039;2468.333716;230.2881647;0.729767247;64.83400351;0.741972967;48.12102564;0.853077395;2382.919928;124.357308;0.754772887;61.9214069;0.769191576;59.54849357;0.809303767;239.094624;0.724369292;67.89026794;0.756803451;59.2323943;0.799438671;0.420590015;0.442464769;122.0724288
293;3;trainbfg;tansig;purelin;tansig;35;25;6870.319476;173.6892555;-0.24110867;68.85718292;0.266122464;150.1505596;0.368765181;6639.619405;248.5210179;-0.350609579;68.93238613;0.374473403;155.8655982;0.428032424;6493.942128;196.7656933;-0.305214774;62.46033339;0.386082895;144.8455602;0.452920463;149.1391081;-0.218993166;71.91628253;0.252141495;145.2473138;0.312857511;0.998862209;0.340640516;122.1009015
40;5;trainbfg;poslin;softmax;tansig;35;20;81.80720881;106.2344371;0.958711099;139.125453;0.994334861;163.8310501;-0.404031233;95.89113904;110.483214;0.94825597;133.2933144;0.995232464;185.270492;-0.458170656;75.39620031;54.27081251;0.948818898;156.528442;0.99499606;116.8031021;-0.404499214;104.054465;0.957288414;122.9120731;0.994540126;139.5874095;-0.424449716;0.782633497;1;122.1846492
266;3;trainbfg;tansig;purelin;tansig;15;10;2637.978885;343.4370436;0.752658608;63.79615843;0.769273534;53.96096369;0.845528766;2278.976365;61.02807695;0.765748291;64.85349129;0.805837574;50.68987566;0.815765984;2556.132886;79.65161277;0.774043983;66.81861581;0.831277619;56.79742079;0.839903799;239.094624;0.724369292;67.88700465;0.763543242;59.60081083;0.804259891;0.994853147;0.261822111;122.1941465
644;4;trainbfg;purelin;purelin;purelin;15;10;269.6542914;148.6035835;0.865006637;131.0524649;0.971523576;147.2380046;0.013494517;308.699184;124.7529973;0.876805156;111.949404;0.973143091;234.94837;0.019612314;277.7986922;60.54060261;0.895758024;112.0003548;0.974925255;175.0598989;0.089555519;101.9985061;0.871174852;108.1663247;0.968026175;156.4720777;-0.061851599;0.318346132;0.391240996;122.2123028
662;1;trainbfg;purelin;purelin;purelin;30;10;288.044348;105.7319213;0.865464256;116.5976877;0.971682734;183.9849732;0.535069285;254.1538107;209.9134861;0.903430385;114.5367464;0.976402822;204.3477759;0.557753326;284.8039391;155.9612031;0.870911681;141.1438062;0.971390124;190.0367661;0.527326704;99.9429252;0.871797077;104.3708702;0.96826409;162.4734632;0.587765126;0.311827256;0.333732512;122.2624195
649;4;trainbfg;purelin;purelin;purelin;20;5;258.945114;126.5662951;0.879893017;121.4115276;0.97362211;217.1226061;0.369512744;347.4220344;143.9569078;0.848065955;116.8943706;0.966748422;143.2772358;0.319363922;299.0260203;138.1753577;0.866419643;123.2954675;0.973404039;262.4358073;0.516195453;100.2900073;0.871393336;103.6887109;0.968256865;162.9573138;0.295053211;0.371549558;0.392327484;122.3120107
634;2;trainbfg;purelin;purelin;purelin;5;20;275.8813929;124.5939944;0.864802273;128.012892;0.972155497;138.6303745;0.650697625;265.9210293;231.9485471;0.887941945;114.799668;0.973665237;162.7532926;0.682684221;275.7465669;189.4399186;0.891879996;123.3493154;0.971944597;162.2207768;0.715712485;116.8120517;0.871998629;106.5026373;0.968347796;143.624694;0.688263248;0.364767846;0.294438384;122.3131277
